track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo,valence
duNRajiQO6hoqJbwORzh6q,20,0.821,0.684,139604,0.487,0,0.729,Major,0.935,89.583,0.768
T2vrFw2HjJe6t8wc0EnSbV,35,0.73,0.451,159440,0.339,0.0315,0.15,Minor,0.0306,132.065,0.273
MT7qAQ25taWCIbSpsKGwsy,9,0.909,0.69,89195,0.607,0,0.625,Minor,0.956,82.365,0.754
OoYmLhIa7GVJ6T935Pab6g,12,0.741,0.461,72960,0.669,0,0.837,Minor,0.865,86.518,0.666
EJxDLVOpeKOwJSpeF1CcAt,56,0.0233,0.635,275586,0.588,0,0.895,Major,0.268,163.039,0.471
7wkyWhInDPPhk5NHDw2fLy,34,0.982,0.316,163573,0.0417,0.922,0.117,Major,0.0498,111.238,0.364
kTqenNiqbp1OL3Alrh2x5U,13,0.829,0.66,53840,0.32,0,0.756,Minor,0.935,62.264,0.76
6AMfAOgQqmEGKEIFN1RhT4,57,0.83,0.441,268906,0.34,3.99e-6,0.107,Major,0.0247,78.091,0.142
7rfj3Pf7592lvVSXM3x6rt,53,0.0173,0.623,202840,0.692,0.00883,0.124,Major,0.0293,104.977,0.13
GuwemaXVAtm8vDfSD3yzW8,62,0.0208,0.575,249813,0.478,1.11e-5,0.144,Major,0.0314,125.968,0.297
GTLUDfoh9Wm3gVqukydrAU,44,0.995,0.333,334133,0.0363,0.902,0.0984,Major,0.0403,132.663,0.111
YaLDANuAXq1yuvU5I8QKUT,38,0.91,0.454,193711,0.267,0,0.153,Major,0.0308,153.635,0.469
tZpUdHZ6ffTPcGXrL9plAB,63,0.749,0.67,109736,0.609,6.74e-5,0.227,Major,0.0333,127.463,0.573
huip7dx7F04FWzrwUgvUz7,15,0.565,0.48,232227,0.643,0,0.585,Major,0.916,81.306,0.169
QtADlesLkkrtwXuFHYYCPW,11,0.697,0.643,452044,0.391,0,0.74,Minor,0.945,82.545,0.68
a6fPLbF5BSA1BpJUm37Kez,29,0.799,0.511,622211,0.839,0,0.967,Major,0.768,105.399,0.645
2mk5nK2WlIdqu1NDppEpLR,35,0.995,0.369,318240,0.00245,0.952,0.0718,Major,0.0481,96.613,0.0736
aiKLgHr1KghBZiLRRuIQgB,14,0.825,0.655,166573,0.742,0,0.761,Minor,0.932,86.223,0.626
rkh10iezmtkvYUk1JHqanL,15,0.636,0.476,259608,0.581,0,0.759,Major,0.937,68.337,0.561
I3RW1bYNWL7kcztBqDqYTH,22,0.745,0.628,128547,0.861,0,0.878,Major,0.941,56.914,0.501
PioCc1jqchBnJlgiX95w17,37,0.992,0.147,102307,0.00643,0.838,0.064,Major,0.0492,86.642,0.0615
HamGt7DVyPHFuDKzObj9pT,37,0.971,0.0666,259853,0.0366,0.833,0.0829,Minor,0.0464,72.689,0.0374
oOgtyB6Q3uY0k1FCy7v21K,0,0.861,0.25,568733,0.021,0.0356,0.249,Minor,0.0385,123.736,0.0397
R7od8vCzh1YhYxmgmnmEjg,15,0.752,0.567,116657,0.899,0,0.781,Minor,0.875,95.378,0.502
pgU1mVXFfcg1rb8W0pxJvh,11,0.9,0.551,370118,0.601,0,0.799,Minor,0.936,73.664,0.569
nNb6BvEIK37AiStUk6o5cO,42,1.34e-5,0.472,263188,0.975,0.479,0.145,Major,0.111,165.001,0.718
1AvQzSW60QUhJFLSP662Du,54,0.0042,0.445,247240,0.847,0.0875,0.207,Major,0.0435,143.773,0.448
WZ3TB9pKgBM9K5Vg6YlhbX,55,0.116,0.834,235693,0.685,5.46e-4,0.0484,Minor,0.046,117.716,0.816
YPfBoJcIIExpMaBqQ1YGEq,34,0.99,0.176,147029,0.0405,0.832,0.0965,Major,0.0413,135.348,0.0964
RRzrE6giDGeRWVmxkwo6HN,27,0.82,0.695,196137,0.43,0,0.842,Major,0.939,105.294,0.57
JwZh7BUCd6DPj0xy7P8TM3,17,0.817,0.557,189480,0.859,0,0.876,Minor,0.781,121.363,0.565
xYAn08KHKGcXz5vJKSSvqN,45,0.987,0.16,65320,0.0348,0.909,0.0714,Major,0.0462,76.408,0.114
yq7TqD6Y0VXd0IFuqzRdzo,30,0.869,0.12,208933,0.0544,0.819,0.719,Major,0.0435,82.318,0.0331
GwZGoeppJlRBiRJTR8j8tg,64,0.0387,0.545,209386,0.968,0.00325,0.331,Minor,0.0853,169.965,0.527
1j7e6N5XJSpCJrlYqhlmty,19,0.933,0.48,150305,0.79,0,0.727,Major,0.924,129.169,0.325
fZ2sIJtZNfSzg7HZxrbmrj,12,0.766,0.575,267813,0.454,0,0.934,Major,0.956,86.745,0.444
4rTZorIx1fwVRbxPUNGmXI,37,0.827,0.477,93509,0.96,0,0.618,Major,0.685,99.751,0.426
lHeUVLK0Kv0y662uTpQlRx,14,0.863,0.562,164500,0.323,0,0.515,Major,0.908,103.407,0.537
LdJdMGCi9Xa6Tec4bhs1Wn,56,0.965,0.327,246533,0.155,0.931,0.113,Minor,0.0283,88.966,0.0745
RhQhoPdZm0X4WfbhvTrS11,28,0.987,0.177,374000,0.0307,1.41e-4,0.084,Major,0.0429,88.252,0.0616
gGwazNHCNYGVnLWiMB9fM4,36,0.863,0.57,82207,0.819,0,0.887,Major,0.946,57.099,0.67
rFgv3Gjw4QyUysGk3dU2kG,30,0.848,0.147,345093,0.243,0.734,0.0989,Major,0.0404,92.179,0.118
22Cx4I4olfVOrGlJHf8evb,0,0.973,0.209,1321960,0.125,0.903,0.0587,Minor,0.0339,83.247,0.105
q6RA08x7Rk0X36Oi4zuSFO,66,0.0909,0.407,248253,0.612,0,0.0914,Major,0.0496,159.527,0.133
uEdZizLHtUVrLDLAUOY2a6,24,0.844,0.608,217320,0.964,0,0.907,Minor,0.952,81.141,0.166
VSp1iXTd6LEETAPIO3QdlJ,62,0.0591,0.359,130429,0.579,0.746,0.0686,Major,0.0406,68.102,0.135
HobdIxT5xkpyTW4uKObgBP,55,0.43,0.622,250653,0.48,3.94e-6,0.177,Major,0.031,93.381,0.449
POferoCpjxsfhqiZUcjleI,71,6.59e-4,0.29,493400,0.827,2.55e-6,0.301,Major,0.0362,167.086,0.45
ZgPANDWUWppsCZWPAZQg9H,45,0.945,0.229,479160,0.266,0.919,0.095,Major,0.0464,75.13,0.179
BhRffD2pmg6HmvQa7c18KE,24,0.0295,0.61,62933,0.809,1.9e-5,0.056,Minor,0.37,95.594,0.95
EEbmU64SuLFwwYQ0VvlOyu,63,0.0105,0.359,563893,0.762,0.281,0.368,Major,0.032,89.259,0.167
CaadBDlajq2fVfBuY0trGs,42,0.914,0.168,226720,0.102,0.901,0.103,Major,0.0672,168.37,0.487
uLNYxFuCnnyCxsXgeVag7F,26,0.147,0.309,333280,0.579,0.0048,0.105,Minor,0.0433,180.463,0.0371
JBmFrU8BCllfeCD5Ihofmn,58,0.78,0.0964,253147,0.46,0.814,0.0909,Major,0.0352,87.912,0.04
v3RCAS6n7c2IVIHbrR1Yxq,40,0.837,0.434,148627,0.948,0,0.935,Major,0.932,83.062,0.118
uRLX7G4uCQKUAMHaBLzvEx,73,0.0367,0.558,208600,0.719,0,0.115,Major,0.0267,112.027,0.371
wutsSSUWScXQ2UEz2Jslpe,36,0.86,0.616,317467,0.421,0,0.617,Major,0.936,129.859,0.341
AtKhP9o6fSlQAyQlNw1Ntz,57,0.243,0.68,223027,0.688,1.62e-6,0.138,Major,0.034,103.951,0.397
XEnOn5dGYGreX4fIKT055f,19,0.789,0.561,507516,0.95,0,0.973,Major,0.949,147.917,0.138
HoAuhtrDxyAehvL50WznyD,0,0.912,0.466,95040,0.108,0,0.109,Minor,0.429,88.555,0.212
4qHV1NlHueLH5BV6DzJcSH,16,0.81,0.62,200861,0.579,0,0.922,Major,0.956,80.112,0.121
tndBWH1jGsgD41Op6EDvkK,31,0.991,0.217,159493,0.0191,0.124,0.179,Major,0.0405,116.241,0.039
cb3vrPFn9lprBtxoVwMcgL,15,0.858,0.407,406918,0.772,1.34e-6,0.459,Minor,0.943,61.075,0.211
0un1WEXlJRQ6N6WQMMWbD1,25,0.916,0.225,673187,0.0871,0.909,0.0452,Major,0.0373,138.428,0.146
tsJUdc9HceT7oiiggTllmt,29,0.973,0.167,373747,0.0407,0.454,0.139,Major,0.0439,66.195,0.0357
kibEpQhKVKtnL36bkxT0Mx,40,0.899,0.474,162427,0.276,0.0049,0.206,Minor,0.0388,79.083,0.653
998vLasUhEbBgw0tDWmLZq,67,0.0155,0.269,171773,0.911,0.0179,0.0853,Major,0.245,169.396,0.681
u1wTbSQpLuplvEvWGN0bov,43,0.661,0.563,77267,0.233,0,0.158,Minor,0.913,92.217,0.255
iECO6xWZDWly7LXLPKoIWN,24,0.789,0.643,191348,0.39,0,0.672,Major,0.908,96.432,0.732
6RgM3v5u5g6joaX20k2EXP,22,0.804,0.467,140427,0.798,0,0.866,Major,0.955,58.231,0.279
RiuNkC97l5nwqo7BolJGdu,19,0.938,0.542,174147,0.733,0,0.845,Major,0.736,94.319,0.72
rpjq9WP0nJMTOIG5dA1Qdr,23,0.649,0.11,673280,0.0499,0.65,0.108,Major,0.0399,88.012,0.0359
c92EdH6aVCW6vGbZyhIEEP,63,0.221,0.658,198460,0.682,0,0.236,Major,0.0311,100.989,0.541
RURpMscvhlLo2Dik2AUjYM,67,0.00773,0.581,261372,0.826,1.56e-6,0.792,Major,0.0357,100.018,0.492
uGAYc1end09doSJuRva67F,0,0.988,0.239,696093,0.0507,0.951,0.102,Minor,0.0526,71.638,0.141
Mj8bERKZj2S1XBhSPaDIOr,44,0.863,0.538,103301,0.915,0,0.614,Major,0.885,96.484,0.512
xuCiR0aoc4EtgQ0cJRj3Tl,36,0.981,0.343,574767,0.18,0.877,0.173,Major,0.0389,93.848,0.038
Vfb01cBjgrjtc9DROKR00Y,22,0.792,0.306,222645,0.968,0,0.419,Major,0.489,117.724,0.0561
RjwyqjdfPx9PrUva944WI0,54,0.38,0.567,209133,0.579,2.8e-5,0.0562,Major,0.029,109.84,0.92
rXBhZDwvT5zDJtKxTdTXrM,64,0.816,0.494,300840,0.268,9.74e-5,0.076,Major,0.0315,70.223,0.162
SO3zkNnDSTygCwydIEgl0e,10,0.856,0.479,110600,0.453,0,0.754,Major,0.939,78.913,0.163
LnzA8lTW3YdEM9EaUl6768,41,1.81e-4,0.645,116000,0.717,0.73,0.128,Major,0.0319,120.011,0.659
djbIwL0zeufFJqcF8e1Aak,20,0.697,0.546,188120,0.809,0,0.71,Major,0.93,90.051,0.282
DTMABypIqq8tjg3Z4H81KX,17,0.756,0.675,49307,0.431,0,0.627,Major,0.941,62.739,0.54
uWK3yKMRr3roKNmDYUEoLe,32,0.83,0.352,311171,0.317,0.266,0.118,Major,0.0557,142.03,0.0367
hSJTPrZOSAJ3YktXC9YfTl,0,0.989,0.332,535467,0.101,0.921,0.1,Major,0.0358,135.756,0.221
r15PfIF5OIHLKKyUqTNKQg,40,0.822,0.489,108813,0.0174,1.33e-6,0.294,Major,0.0339,103.006,0.343
AEQA8IBHWfinObJyQgMkW7,27,0.805,0.622,168293,0.567,3.53e-6,0.718,Minor,0.923,70.952,0.0949
KK9clVRXC5pFJXZwzq5awG,28,0.645,0.501,60480,0.471,0,0.973,Minor,0.789,78.427,0.14
SfTbHz3H3rpg8K2oHeQ1n2,16,0.678,0.389,303933,0.973,0,0.696,Major,0.954,68.993,0.221
UlwyZ4QV4eNuylAGpMbeBT,26,0.899,0.101,524707,0.0221,0.881,0.165,Minor,0.047,74.203,0.0315
F0hhd1Uuk4J1xXeSfyxtHA,22,0.721,0.74,207987,0.59,0,0.846,Major,0.933,77.081,0.665
4sdWJnKo7cYhyVOsOJTLyP,29,0.871,0.514,162002,0.45,0,0.729,Minor,0.95,192.689,0.576
CGWwEkJ797IJ4DXFRHRBJW,13,0.996,0.326,99267,0.00259,0.94,0.173,Minor,0.0566,66.634,0.126
q1v0KcnTZt6QBC5JG73f3A,57,4.15e-4,0.427,218813,0.445,2.11e-4,0.254,Minor,0.0335,113.068,0.199
jyCNQogtlGXKQVSUzxBRF7,67,0.0526,0.715,238747,0.715,0,0.0936,Major,0.0904,134.923,0.506
xsbM3zf5nQyjiwbPmxagf5,57,0.107,0.506,236467,0.827,2.42e-6,0.161,Minor,0.0366,101.869,0.571
xOWHzo8lTticjCIujBnIzF,0,0.959,0.404,264853,0.094,0,0.524,Minor,0.136,106.132,0.194
6iqTaQqlugxu9q7392e7iO,13,0.704,0.537,343987,0.937,0,0.966,Major,0.959,64.548,0.195
