circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,M,2004,45,24,7,0,2,5,11,win
AVP,M,2004,71,31,16,3,8,7,21,win
AVP,M,2004,43,26,5,2,4,7,10,win
AVP,M,2004,42,32,5,2,3,7,7,win
AVP,M,2004,44,31,1,0,5,6,15,win
AVP,M,2004,55,31,6,0,4,8,22,win
AVP,M,2004,39,26,8,5,3,4,10,win
AVP,M,2004,41,21,8,1,1,6,15,win
AVP,M,2004,60,33,12,0,1,9,19,win
AVP,M,2004,32,11,5,1,5,8,10,win
AVP,M,2004,64,33,8,1,1,8,9,win
AVP,M,2004,67,34,11,4,4,2,15,win
AVP,M,2004,62,37,13,0,7,10,11,win
AVP,M,2004,69,40,11,0,2,9,18,win
AVP,M,2004,68,40,14,1,4,8,20,win
AVP,M,2004,53,26,5,2,3,5,18,win
AVP,M,2004,38,25,4,1,1,7,8,win
AVP,M,2004,56,33,9,0,0,6,15,win
AVP,M,2004,45,32,6,1,2,5,6,win
AVP,M,2004,68,35,9,1,1,4,21,win
AVP,M,2004,43,24,3,0,0,8,13,win
AVP,M,2004,51,28,4,2,4,7,12,win
AVP,M,2004,44,27,8,0,2,3,14,win
AVP,M,2004,46,30,7,0,7,4,13,win
AVP,M,2004,33,19,10,1,2,14,7,win
AVP,M,2004,72,36,10,0,0,7,29,win
AVP,M,2004,84,38,15,1,1,10,31,win
AVP,M,2004,36,21,5,0,3,6,10,win
AVP,M,2004,48,26,3,1,3,5,18,win
AVP,M,2004,36,27,3,3,2,6,14,win
AVP,M,2004,50,33,3,0,0,3,16,win
AVP,M,2004,66,39,9,2,3,2,15,win
AVP,M,2004,76,44,10,0,0,11,37,win
AVP,M,2004,47,29,7,1,4,6,17,win
AVP,M,2004,44,25,8,3,1,6,9,win
AVP,M,2004,44,26,8,0,2,5,10,win
AVP,M,2004,54,37,7,2,4,3,14,win
AVP,M,2004,43,31,4,0,0,9,21,win
AVP,M,2004,33,22,0,4,1,6,9,win
AVP,M,2004,68,33,11,0,0,8,22,win
AVP,M,2004,63,30,11,4,1,2,17,win
AVP,M,2004,104,46,15,1,1,6,37,win
AVP,W,2004,33,16,12,7,3,4,7,win
AVP,W,2004,34,24,1,1,1,5,19,win
AVP,W,2004,31,18,2,2,4,0,7,win
AVP,W,2004,86,29,24,2,3,8,21,win
AVP,W,2004,45,31,3,5,6,0,19,win
AVP,W,2004,61,23,7,3,3,5,13,win
AVP,W,2004,47,30,8,0,3,3,16,win
AVP,W,2004,36,28,4,3,3,0,15,win
AVP,W,2004,55,27,13,4,3,6,15,win
AVP,W,2004,50,36,4,3,4,4,15,win
AVP,W,2004,34,22,2,2,4,10,10,win
AVP,W,2004,42,23,2,0,4,6,18,win
AVP,W,2004,33,23,1,3,3,2,7,win
AVP,W,2004,57,23,14,5,2,11,9,win
AVP,W,2004,34,24,2,3,6,2,17,win
AVP,W,2004,51,28,6,3,4,2,24,win
AVP,W,2004,69,36,8,2,6,4,16,win
AVP,W,2004,47,29,4,1,2,0,22,win
AVP,W,2004,39,30,3,1,1,3,24,win
AVP,W,2004,51,31,4,1,2,1,21,win
AVP,W,2004,57,30,9,1,1,3,20,win
AVP,W,2004,65,30,9,6,6,1,27,win
AVP,W,2004,36,22,4,0,4,9,10,win
AVP,W,2004,46,28,4,3,2,2,14,win
AVP,W,2004,54,27,8,1,4,6,18,win
AVP,W,2004,36,21,2,4,3,2,7,win
AVP,W,2004,33,30,1,2,4,2,17,win
AVP,W,2004,46,21,4,3,1,5,15,win
AVP,W,2004,46,28,4,0,3,1,18,win
AVP,W,2004,38,19,3,4,4,3,15,win
AVP,W,2004,62,34,8,4,4,2,19,win
AVP,W,2004,53,30,7,5,8,3,18,win
AVP,W,2004,39,23,5,3,1,2,5,win
AVP,W,2004,45,28,4,2,4,6,16,win
